X,Y,count,ACCIDENT_NO,Year,Quarter,AGE,RD_U_DESC,SEX,N_TYPE_DES,Region,DAY_OF_WEEK,Day Week Description,Light,NO_PERSONS_KILLED,Road,Speed,Weather,Death,NO_PERSONS,Lng,Lat
2493922.671,2408402.193,1,T20180013325,2018,3,32,Motorcyclists,M,Non Intersection,MELBOURNE,1,Sunday,Dark Street lights on,1,Not at intersection,80,Clear,1,1,144.9309677,-37.82539108
2483776.753,2407883.897,1,T20180014012,2018,3,30,Motorcyclists,M,Non Intersection,HOBSONS BAY,5,Thursday,Dark Street lights on,1,Not at intersection,80,Raining,0.25,4,144.8157092,-37.8299393
2521524.619,2410086.31,1,T20180014680,2018,3,21,Motorcyclists,M,Intersection,MAROONDAH,7,Saturday,Dark Street lights on,1,T intersection,70,Clear,0.5,2,145.2444482,-37.809988
2460628.004,2423857.366,1,T20180014836,2018,3,36,Motorcyclists,M,Non Intersection,MELTON,3,Tuesday,Dusk/Dawn,1,Not at intersection,60,Clear,0.333333333,3,144.5536004,-37.68532413
2537005.19,2489516.853,1,T20180017367,2018,3,65,Motorcyclists,M,Non Intersection,MURRINDINDI,6,Friday,Day,1,Not at intersection,100,Clear,1,1,145.4163096,-37.09374614
2817550.144,2416305.171,1,T20180017387,2018,3,59,Motorcyclists,M,Non Intersection,EAST GIPPSLAND,6,Friday,Day,1,T intersection,100,Clear,0.333333333,3,148.6019305,-37.70006952
2521111.41,2405479.684,1,T20180018041,2018,3,37,Motorcyclists,M,Intersection,KNOX,2,Monday,Dark Street lights on,1,Cross intersection,80,Clear,0.333333333,3,145.2398874,-37.85150295
2563001.285,2478502.226,1,T20180018352,2018,3,44,Motorcyclists,M,Intersection,MURRINDINDI,7,Saturday,Day,1,Cross intersection,50,Clear,1,1,145.7096817,-37.19162229
2545602.372,2430410.964,1,T20180018771,2018,4,62,Motorcyclists,M,Non Intersection,YARRA RANGES,7,Saturday,Day,1,Not at intersection,100,Clear,0.166666667,6,145.516635,-37.62598905
2398899.195,2434815.472,1,T20180019095,2018,4,28,Motorcyclists,M,Non Intersection,BALLARAT,5,Thursday,Day,1,Not at intersection,60,Clear,0.5,2,143.8552602,-37.58193878
2511797.25,2398003.226,1,T20180019776,2018,4,22,Motorcyclists,M,Non Intersection,MONASH,1,Sunday,Dark Street lights on,1,Not at intersection,80,Clear,0.333333333,3,145.1341712,-37.91902884
2538912.023,2606223.014,1,T20180020188,2018,4,68,Motorcyclists,M,Non Intersection,MOIRA,7,Saturday,Day,1,Not at intersection,100,Clear,1,1,145.4318061,-36.04187
2542397.398,2380945.019,1,T20180020565,2018,4,28,Motorcyclists,M,Non Intersection,CARDINIA,6,Friday,Day,1,Not at intersection,80,Clear,0.333333333,3,145.4831703,-38.07181713
2512252.648,2428754.476,1,T20180020617,2018,4,37,Motorcyclists,M,Non Intersection,NILLUMBIK,7,Saturday,Day,1,Not at intersection,60,Clear,1,1,145.1388404,-37.64194959
2546042.756,2421576.422,1,T20180021109,2018,4,29,Motorcyclists,M,Non Intersection,YARRA RANGES,1,Sunday,Day,0,Not at intersection,100,Clear,0,1,145.5221731,-37.70557048
2709829.155,2502680.317,1,T20180021505,2018,4,62,Motorcyclists,M,Non Intersection,EAST GIPPSLAND,6,Friday,Day,1,Not at intersection,100,Clear,1,1,147.3564524,-36.95243922
2596972.287,2399179.568,1,T20180021540,2018,4,72,Motorcyclists,M,Non Intersection,BAW BAW,7,Saturday,Day,1,Not at intersection,80,Clear,1,1,146.1026712,-37.90344542
2603857.035,2360506.268,1,T20180021624,2018,4,61,Pillion Passengers,F,Non Intersection,BAW BAW,1,Sunday,Day,1,Not at intersection,80,Clear,0.5,2,146.18643,-38.25108011
2625375.206,2358889.536,1,T20180021863,2018,4,26,Motorcyclists,M,Non Intersection,LATROBE,4,Wednesday,Dark No street lights,1,Not at intersection,100,Clear,1,1,146.4324907,-38.2629763
2501943.09,2397895.656,1,T20180022512,2018,4,51,Motorcyclists,M,Intersection,BAYSIDE,6,Friday,Dark Street lights on,1,Cross intersection,80,Clear,0.5,2,145.0220992,-37.92007087
2493916.965,2422604.915,1,T20180022591,2018,4,17,Motorcyclists,M,Non Intersection,MORELAND,1,Sunday,Day,1,Not at intersection,50,Clear,1,1,144.9310198,-37.69742121
2148445.421,2795369.709,1,T20190000564,2019,1,51,Motorcyclists,M,Non Intersection,MILDURA,5,Thursday,Day,1,Not at intersection,110,Clear,0.5,2,141.18498,-34.27497685
2476358.626,2402870.197,1,T20190000642,2019,1,47,Motorcyclists,F,Non Intersection,WYNDHAM,6,Friday,Day,1,Not at intersection,100,Clear,0.5,2,144.7312813,-37.87495307
2533471.257,2566036.982,1,T20190000720,2019,1,52,Motorcyclists,M,Non Intersection,SHEPPARTON,1,Sunday,Day,1,Not at intersection,60,Clear,1,1,145.3731787,-36.40425178
2427292.091,2434037.593,1,T20190001073,2019,1,41,Motorcyclists,M,Non Intersection,MOORABOOL,6,Friday,Day,1,Not at intersection,110,Clear,1,1,144.1766507,-37.59159226
2215075.906,2356547.776,1,T20190001196,2019,1,20,Motorcyclists,M,Non Intersection,GLENELG,1,Sunday,Dark No street lights,1,Not at intersection,100,Clear,0.5,2,141.7446711,-38.24868169
2465556.362,2426850.169,1,T20190001325,2019,1,62,Motorcyclists,M,Non Intersection,MELTON,3,Tuesday,Day,1,Not at intersection,50,Clear,1,1,144.6096166,-37.65855275
2693256.445,2429495.407,1,T20190001578,2019,1,59,Motorcyclists,M,Non Intersection,EAST GIPPSLAND,7,Saturday,Day,1,Not at intersection,100,Clear,1,1,147.1893007,-37.61532986
2512780.695,2426723.858,1,T20190001629,2019,1,65,Motorcyclists,M,Non Intersection,NILLUMBIK,1,Sunday,Day,1,Not at intersection,80,Clear,1,1,145.144859,-37.66023961
2502856.419,2562045.25,1,T20190001893,2019,1,57,Motorcyclists,M,Intersection,SHEPPARTON,5,Thursday,Day,1,Cross intersection,100,Clear,1,1,145.0318619,-36.44081464
2512148.52,2400805.137,1,T20190002256,2019,1,24,Motorcyclists,M,Non Intersection,MONASH,4,Wednesday,Day,1,Not at intersection,100,Clear,0.333333333,3,145.13812,-37.89378001
